OrderNo,ItemNo,Quantity
D0001,P0128,4
D0001,P0129,4
D0001,P0313,6
D0001,P0315,6
D0001,P0398,12
D0001,P0412,24
D0001,P0414,12
D0001,P0536,12
D0001,P0539,12
D0001,P0761,36
D0001,P0762,24
D0001,P0851,6
D0001,P1104,4
D0001,P1828,6
D0001,P1829,6
D0001,P1844,2
D0001,P1845,2
D0001,P1846,2
D0001,P1940,1
D0002,P0430,12
D0003,P0516,6
D0004,P0297,10
D0004,P0397,24
D0004,P0639,36
D0004,P0861,12
D0004,P1008,12
D0004,P1010,24
D0004,P1035,12
D0004,P1036,12
D0004,P1037,12
D0004,P1605,10
D0004,P1611,36
D0005,P0030,36
D0006,P0043,48
D0006,P0100,10
D0006,P0102,10
D0006,P0112,12
D0006,P0113,12
D0006,P0136,6
D0006,P0172,6
D0006,P0173,12
D0006,P0180,12
D0006,P0284,4
D0006,P0386,24
D0006,P0411,4
D0006,P0427,4
D0006,P0429,12
D0006,P0490,12
D0006,P0498,6
D0006,P0515,9
D0006,P0516,8
D0006,P0517,8
D0006,P0521,12
D0006,P0543,8
D0006,P0556,4
D0006,P0597,12
D0006,P0626,24
D0006,P0631,6
D0006,P0707,4
D0006,P0799,12
D0006,P0809,24
D0006,P0816,12
D0006,P0817,12
D0006,P0826,12
D0006,P0831,4
D0006,P0852,3
D0006,P0912,25
D0006,P0913,25
D0006,P0944,6
D0006,P0945,6
D0006,P0946,6
D0006,P0947,6
D0006,P0951,6
D0006,P0998,24
D0006,P1010,8
D0006,P1017,4
D0006,P1018,4
D0006,P1019,2
D0006,P1020,2
D0006,P1021,2
D0006,P1022,2
D0006,P1034,6
D0006,P1052,24
D0006,P1053,6
D0006,P1081,12
D0006,P1082,10
D0006,P1084,24
D0006,P1085,36
D0006,P1086,2
D0006,P1087,2
D0006,P1088,24
D0006,P1091,24
D0006,P1563,24
D0006,P1650,4
D0006,P1669,4
D0006,P1684,1
D0006,P1704,6
D0006,P1705,12
D0006,P1706,12
D0006,P1758,12
D0006,P1759,12
D0006,P1809,12
D0006,P1874,12
D0007,P0067,4
D0007,P0068,4
D0007,P0108,24
D0007,P0334,24
D0007,P0536,12
D0007,P0539,6
D0007,P0563,8
D0007,P0578,12
D0007,P0813,4
D0007,P0814,8
D0007,P0815,8
D0007,P0972,2
D0007,P1658,6
D0007,P1685,12
D0007,P1940,1
D0008,P0237,3
D0008,P0370,8
D0008,P0496,20
D0008,P0519,6
D0008,P0653,24
D0008,P0654,24
D0008,P0655,24
D0008,P0707,12
D0008,P0816,36
D0008,P0818,36
D0008,P0819,36
D0008,P0820,36
D0008,P0832,36
D0008,P0833,36
D0008,P0834,36
D0008,P0856,6
D0008,P0909,12
D0008,P0911,12
D0008,P1940,1
D0009,P0519,3
D0010,P0069,12
D0010,P0070,6
D0010,P0071,6
D0010,P0097,6
D0010,P0125,6
D0010,P0166,6
D0010,P0167,8
D0010,P0181,12
D0010,P0191,24
D0010,P0279,6
D0010,P0297,2
D0010,P0362,18
D0010,P0370,3
D0010,P0399,6
D0010,P0515,6
D0010,P0517,8
D0010,P0570,36
D0010,P0571,12
D0010,P0617,2
D0010,P0707,16
D0010,P0965,4
D0010,P0977,2
D0010,P0981,2
D0010,P0989,18
D0010,P1009,4
D0010,P1013,2
D0010,P1015,2
D0010,P1019,2
D0010,P1102,12
D0010,P1608,2
D0010,P1687,12
D0010,P1794,24
D0011,P0001,12
D0011,P0006,3
D0011,P0026,6
D0011,P0027,6
D0011,P0028,6
D0011,P0029,12
D0011,P0031,6
D0011,P0049,3
D0011,P0062,10
D0011,P0126,3
D0011,P0174,12
D0011,P0181,12
D0011,P0209,2
D0011,P0210,1
D0011,P0297,2
D0011,P0298,2
D0011,P0299,2
D0011,P0302,6
D0011,P0303,6
D0011,P0306,4
D0011,P0307,3
D0011,P0317,12
D0011,P0446,24
D0011,P0488,4
D0011,P0660,12
D0011,P0673,8
D0011,P0674,4
D0011,P0676,4
D0011,P0701,20
D0011,P0703,6
D0011,P0707,6
D0011,P0853,2
D0011,P0854,2
D0011,P0980,2
D0011,P0981,6
D0011,P0982,4
D0011,P0984,8
D0011,P0986,4
D0011,P0987,4
D0011,P1052,12
D0011,P1575,3
D0011,P1591,12
D0011,P1592,6
D0011,P1596,8
D0011,P1607,2
D0011,P1613,12
D0011,P1616,6
D0011,P1719,4
D0011,P1732,48
D0011,P1792,12
D0011,P1801,3
D0012,P0006,6
D0012,P0007,6
D0012,P0008,6
D0012,P0049,6
D0012,P0166,12
D0012,P0255,6
D0012,P0981,10
D0012,P1043,12
D0012,P1044,10
D0012,P1079,12
D0012,P1588,20
D0012,P1640,24
D0012,P1641,24
D0012,P1642,36
D0012,P1671,24
